Scenario,Repo,Mode,Rate_%,Variant,Mean_ms,Median_ms,P99_ms,P99.9_ms,Max_ms,FPR_%,FNR_%
Baseline (No Attack),vanetza_unpatched,N/A,0.0,Native,0.0151,0.0139,0.0311,0.1349,1.2919,N/A,N/A
Unpatched Native | mode0 | 1.0%,vanetza_unpatched,mode0,1.0,Unpatched+Native,0.0173,0.015,0.143,0.2072,1.6326,N/A,N/A
Unpatched Filtered | mode0 | 1.0%,vanetza_unpatched,mode0,1.0,Unpatched+Filtered,0.0167,0.0157,0.033,0.1334,1.8658,0.0,0.01
Patched Native | mode0 | 1.0%,vanetza_patched,mode0,1.0,Patched+Native,0.0162,0.0139,0.1387,0.1947,0.6816,N/A,N/A
Patched Filtered | mode0 | 1.0%,vanetza_patched,mode0,1.0,Patched+Filtered,0.0166,0.0156,0.0326,0.1315,3.1377,0.0,0.0
Unpatched Native | mode0 | 5.0%,vanetza_unpatched,mode0,5.0,Unpatched+Native,0.0235,0.015,0.1731,0.2878,4.8314,N/A,N/A
Unpatched Filtered | mode0 | 5.0%,vanetza_unpatched,mode0,5.0,Unpatched+Filtered,0.0186,0.0172,0.0456,0.1554,3.4072,0.0,0.0
Patched Native | mode0 | 5.0%,vanetza_patched,mode0,5.0,Patched+Native,0.0218,0.014,0.1621,0.2492,2.2777,N/A,N/A
Patched Filtered | mode0 | 5.0%,vanetza_patched,mode0,5.0,Patched+Filtered,0.0165,0.0154,0.0322,0.1351,1.5193,0.0,0.0
Unpatched Native | mode0 | 10.0%,vanetza_unpatched,mode0,10.0,Unpatched+Native,0.0303,0.015,0.1787,0.3031,1.7783,N/A,N/A
Unpatched Filtered | mode0 | 10.0%,vanetza_unpatched,mode0,10.0,Unpatched+Filtered,0.0169,0.0158,0.037,0.133,2.4289,0.0,0.0
Patched Native | mode0 | 10.0%,vanetza_patched,mode0,10.0,Patched+Native,0.029,0.0143,0.1691,0.2881,1.8849,N/A,N/A
Patched Filtered | mode0 | 10.0%,vanetza_patched,mode0,10.0,Patched+Filtered,0.0163,0.0152,0.0319,0.1312,0.5895,0.0,0.0
Unpatched Native | mode1 | 1.0%,vanetza_unpatched,mode1,1.0,Unpatched+Native,0.0158,0.0142,0.0399,0.1815,4.6028,N/A,N/A
Unpatched Filtered | mode1 | 1.0%,vanetza_unpatched,mode1,1.0,Unpatched+Filtered,0.0155,0.0145,0.0315,0.1313,1.207,0.0,0.291
Patched Native | mode1 | 1.0%,vanetza_patched,mode1,1.0,Patched+Native,0.0156,0.0143,0.0374,0.1679,0.5881,N/A,N/A
Patched Filtered | mode1 | 1.0%,vanetza_patched,mode1,1.0,Patched+Filtered,0.0151,0.0142,0.0286,0.1162,0.6981,0.0,0.291
Unpatched Native | mode1 | 5.0%,vanetza_unpatched,mode1,5.0,Unpatched+Native,0.016,0.0136,0.137,0.1849,0.9287,N/A,N/A
Unpatched Filtered | mode1 | 5.0%,vanetza_unpatched,mode1,5.0,Unpatched+Filtered,0.0155,0.0147,0.0335,0.1318,1.8367,0.0,0.0
Patched Native | mode1 | 5.0%,vanetza_patched,mode1,5.0,Patched+Native,0.0159,0.0135,0.1374,0.1842,0.8226,N/A,N/A
Patched Filtered | mode1 | 5.0%,vanetza_patched,mode1,5.0,Patched+Filtered,0.0154,0.0144,0.0307,0.1271,0.922,0.0,0.0503
Unpatched Native | mode1 | 10.0%,vanetza_unpatched,mode1,10.0,Unpatched+Native,0.0192,0.0151,0.1585,0.268,4.1819,N/A,N/A
Unpatched Filtered | mode1 | 10.0%,vanetza_unpatched,mode1,10.0,Unpatched+Filtered,0.0166,0.0156,0.039,0.1401,2.7606,0.0,0.0504
Patched Native | mode1 | 10.0%,vanetza_patched,mode1,10.0,Patched+Native,0.0176,0.0138,0.1521,0.2072,0.6917,N/A,N/A
Patched Filtered | mode1 | 10.0%,vanetza_patched,mode1,10.0,Patched+Filtered,0.015,0.0142,0.0278,0.1115,0.8826,0.0,0.0655
Unpatched Native | mode2 | 1.0%,vanetza_unpatched,mode2,1.0,Unpatched+Native,0.0166,0.0147,0.057,0.1835,4.9492,N/A,N/A
Unpatched Filtered | mode2 | 1.0%,vanetza_unpatched,mode2,1.0,Unpatched+Filtered,0.016,0.0151,0.0321,0.1367,1.221,0.0,1.0611
Patched Native | mode2 | 1.0%,vanetza_patched,mode2,1.0,Patched+Native,0.0157,0.0141,0.0474,0.1797,0.961,N/A,N/A
Patched Filtered | mode2 | 1.0%,vanetza_patched,mode2,1.0,Patched+Filtered,0.0166,0.0156,0.0391,0.1377,2.0053,0.0,1.4815
Unpatched Native | mode2 | 5.0%,vanetza_unpatched,mode2,5.0,Unpatched+Native,0.0184,0.014,0.1538,0.2258,2.6431,N/A,N/A
Unpatched Filtered | mode2 | 5.0%,vanetza_unpatched,mode2,5.0,Unpatched+Filtered,0.0156,0.0148,0.0302,0.1275,1.7383,0.0,0.2041
Patched Native | mode2 | 5.0%,vanetza_patched,mode2,5.0,Patched+Native,0.0201,0.0152,0.1637,0.2651,4.5859,N/A,N/A
Patched Filtered | mode2 | 5.0%,vanetza_patched,mode2,5.0,Patched+Filtered,0.0158,0.0149,0.0315,0.1342,2.0006,0.0,0.3202
Unpatched Native | mode2 | 10.0%,vanetza_unpatched,mode2,10.0,Unpatched+Native,0.0217,0.0139,0.1611,0.2434,0.8078,N/A,N/A
Unpatched Filtered | mode2 | 10.0%,vanetza_unpatched,mode2,10.0,Unpatched+Filtered,0.0154,0.0148,0.0286,0.114,1.2199,0.0,0.0502
Patched Native | mode2 | 10.0%,vanetza_patched,mode2,10.0,Patched+Native,0.0233,0.0148,0.1706,0.292,4.3267,N/A,N/A
Patched Filtered | mode2 | 10.0%,vanetza_patched,mode2,10.0,Patched+Filtered,0.0162,0.0152,0.0332,0.1342,1.0796,0.0,0.0703
