total_size_bytes,flood_size_bytes,median_latency_ns,mean_latency_ns,min_latency_ns,max_latency_ns,amp_vs_normal,valid_runs,crashed_runs
# normal_baseline,325,28747,31349,25694,512863
# poc_baseline,353,164706,171030,154085,534065
# poc_vs_normal_ratio_median,5.7295
353,289,164690,170993,151622,510179,5.72895,10000,0
388,324,182712,191091,176625,816788,6.35586,10000,0
427,363,201501,208706,183390,753239,7.00946,10000,0
469,405,223850,234209,202003,755423,7.7869,10000,0
516,452,246253,256803,223837,805231,8.56622,10000,0
568,504,272410,282835,243011,753312,9.47612,10000,0
625,561,303738,313931,274731,818246,10.5659,10000,0
687,623,334509,344452,301734,928091,11.6363,10000,0
756,692,367977,377780,328271,1111078,12.8005,10000,0
832,768,407494,418667,357178,1110902,14.1752,10000,0
915,851,455473,468926,403009,889766,15.8442,10000,0
1007,943,499279,512182,445577,1186830,17.368,10000,0
1107,1043,549372,558496,491409,1289946,19.1106,10000,0
1218,1154,606886,617422,520703,1313388,21.1113,10000,0
1340,1276,670850,682536,597454,1829784,23.3363,10000,0
1400,1336,704811,1081690,622727,3576842717,24.5177,10000,0
